No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,Asset Turnover,Ent. Value,PE Ratio,Div. Yield,Div. Growth,Op. Income,Net Income,EPS,EPS Growth,EBIT,EBITDA,Operating CF,Investing CF,Financing CF,Net CF,Income Tax,FCF Growth,Total Debt,Debt Growth (YoY),Assets,Liabilities,PB Ratio,EV/EBITDA,Beta (1Y),ATR,Short Ratio,Net WC
83,VRTX,Vertex Pharmaceuticals Incorporated,115318724640,446.88,-2.20%,10185000000,0.46,105868724640,29.00,,,4142700000,4019400000,15.41,22.79%,4810500000,5006500000,3944000000,-3444500000,-625000000,-126200000,748000000,-4.45%,721300000,-8.60%,23917400000,5370800000,6.22,21.15,0.39,8.42,3.46,-678500000
84,TJX,"The TJX Companies, Inc.",114905817400,101.42,-0.70%,54217000000,1.84,121847817400,26.27,1.48%,12.73%,5797000000,4474000000,3.86,29.97%,5797000000,6761000000,6057000000,-1717000000,-4215000000,123000000,1493000000,65.02%,12542000000,-1.59%,29747000000,22445000000,15.74,18.02,0.88,1.86,2.46,-1767000000
85,BLK,"BlackRock, Inc.",114631526000,771.41,-1.34%,18344000000,0.15,116889526000,19.60,2.65%,2.23%,6530000000,5918000000,39.35,22.02%,7627000000,8188000000,4151000000,-759000000,297000000,3730000000,1384000000,-15.34%,11632000000,36.98%,123988000000,82243000000,2.89,14.28,1.38,12.38,2.81,
86,BSX,Boston Scientific Corporation,110513430600,75.17,-0.61%,14707000000,0.42,118803430600,63.17,,,2463000000,1766000000,1.19,101.69%,2420000000,3635000000,2477000000,-2375000000,1643000000,1734000000,377000000,36.82%,10619000000,17.92%,36669000000,16501000000,5.55,32.68,0.77,1.18,1.76,2025000000
87,LMT,Lockheed Martin Corporation,110006774240,458.48,-1.90%,69640000000,1.26,126634774240,16.78,2.75%,5.51%,8426000000,6776000000,27.33,25.19%,8908000000,10364000000,7991000000,-1807000000,-5834000000,350000000,1163000000,-0.70%,19418000000,24.47%,54963000000,48313000000,16.54,12.22,0.46,5.35,1.74,2637000000
88,MDT,Medtronic plc,108881240000,82.00,-0.35%,32320000000,0.36,125742240000,26.11,3.42%,1.47%,5658000000,4201000000,3.14,3.29%,6203000000,8875000000,6470000000,-2145000000,-6981000000,-2899000000,1299000000,18.36%,25182000000,-10.47%,90836000000,38840000000,2.10,14.17,0.80,1.36,2.78,5428000000
89,BA,The Boeing Company,107478810720,175.08,0.32%,76442000000,0.57,147889810720,,,,-712000000,-2151000000,-3.54,,513000000,2359000000,2916000000,1460000000,-8269000000,-3901000000,285000000,-74.06%,47940000000,-13.45%,134484000000,151500000000,,62.69,1.54,5.37,1.58,6808000000
90,CB,Chubb Limited,106647861040,262.64,-0.80%,51572000000,0.23,122840861040,11.67,1.39%,4.18%,10576000000,9279000000,22.51,82.27%,10438000000,10756000000,13601000000,-10824000000,-2503000000,269000000,469000000,22.92%,18844000000,17.02%,234867000000,170436000000,1.76,11.42,0.63,4.65,1.67,
91,KLAC,KLA Corporation,105845889600,786.14,0.91%,9598649000,0.67,108180501600,41.14,0.74%,8.65%,3322403000,2610104000,19.11,-22.06%,3322403000,3727945000,3375075000,-1412677000,-1668477000,279654000,410391000,-4.24%,6628914000,12.55%,14957289000,11862404000,34.20,29.02,1.33,19.71,2.58,1525131000
92,REGN,"Regeneron Pharmaceuticals, Inc.",105458429720,973.16,-1.20%,13100100000,0.40,97642229720,28.74,,,3851800000,3857800000,33.86,-7.96%,4113100000,4548700000,4738900000,-4636500000,-1420500000,-1319000000,184200000,11.23%,2703300000,0.06%,34369600000,7378500000,3.91,21.47,0.17,17.19,3.40,4771100000
93,DE,Deere & Company,102789258660,369.27,-1.52%,60785000000,0.60,160818258660,10.75,1.59%,17.62%,15518000000,9958000000,34.36,27.64%,15537000000,17567000000,8927000000,-8292000000,502000000,1122000000,2803000000,57.16%,63166000000,16.84%,101371000000,79192000000,4.66,9.15,1.05,7.68,2.72,
94,MMC,"Marsh & McLennan Companies, Inc.",100500914280,203.97,-1.89%,23285000000,0.49,102969914280,25.88,1.39%,20.34%,5481000000,3921000000,7.88,23.32%,5781000000,6796000000,4296000000,-1417000000,-1757000000,1070000000,1259000000,32.96%,15379000000,2.66%,47572000000,34950000000,8.09,15.15,0.90,2.36,2.72,-8792000000
95,PANW,"Palo Alto Networks, Inc.",99733638000,308.01,-4.23%,7791300000,0.48,97803238000,44.70,,,699000000,2447600000,6.89,976.56%,999500000,1329900000,3159000000,-978800000,-2798600000,-618400000,-1461800000,9.99%,1532300000,-61.17%,17930800000,13463000000,22.32,73.54,1.18,9.65,3.18,-3466200000
96,ADP,"Automatic Data Processing, Inc.",99580500300,243.30,-2.25%,18912000000,0.34,99588600300,27.12,2.30%,13.78%,4880600000,3699400000,8.97,14.71%,5154600000,5721200000,4042700000,-1636300000,-310700000,2084200000,1089100000,4.57%,3299800000,-0.63%,64181600000,59554900000,21.52,17.41,0.79,3.78,2.98,-2554000000
97,PLD,"Prologis, Inc.",97213620000,105.00,0.24%,8211503000,0.09,126270698000,30.70,3.66%,10.24%,3849104000,3174466000,3.42,6.54%,4090714000,6610743000,5314221000,-6454308000,1150263000,-21912000,211767000,,29557667000,17.51%,93310310000,35513192000,1.83,19.10,1.06,2.50,2.16,
98,ANET,"Arista Networks, Inc.",96355988870,307.49,0.31%,6080191000,0.64,90906290870,42.83,,,2432812000,2288540000,7.18,49.58%,2648063000,2731585000,2173336000,-961357000,-78396000,1132336000,359523000,247.31%,,,10550179000,2687864000,12.26,33.28,1.14,10.42,1.17,1693521000
99,ABNB,"Airbnb, Inc.",94680878891,147.01,1.76%,10241000000,0.47,85579878891,19.55,,,1624000000,4939000000,7.52,149.83%,2344000000,2391000000,4220000000,-943000000,-2582000000,657000000,-2674000000,10.60%,1992000000,-12.94%,24537000000,16641000000,11.99,35.79,1.25,3.70,3.04,-4839000000
100,CI,Cigna Corporation,94656297540,333.21,0.18%,206003000000,1.36,117877297540,27.33,1.68%,11.91%,8777000000,3620000000,12.19,-44.72%,5167000000,8194000000,11625000000,-2686000000,-6786000000,2155000000,137000000,-0.77%,32768000000,0.69%,153119000000,111769000000,2.30,14.39,0.58,5.42,2.22,-16452000000
101,MDLZ,"Mondelez International, Inc.",90635695200,67.57,-1.07%,36140000000,0.50,108827695200,21.45,2.52%,10.39%,6724000000,4290000000,3.15,9.76%,6084000000,7315000000,4915000000,1730000000,-7024000000,-477000000,1511000000,25.06%,19568000000,-13.84%,77624000000,49110000000,3.18,14.88,0.55,1.07,1.63,-4955000000
102,SNPS,"Synopsys, Inc.",89686719360,587.94,0.09%,6190358000,0.59,88671736360,64.05,,,1417687000,1426661000,9.18,55.07%,1542418000,1894313000,1274383000,-520575000,-760281000,-34737000,115757000,-26.30%,644717000,-6.55%,11011837000,3822996000,12.54,46.81,1.07,13.93,3.89,569620000
103,SBUX,Starbucks Corporation,87761596000,77.48,-1.76%,36530200000,1.25,109811496000,21.34,2.94%,7.69%,5561400000,4157800000,3.63,17.86%,5993400000,7518000000,6537800000,-2627800000,-4130800000,-307600000,1270800000,37.97%,25176500000,2.72%,29363200000,37805400000,,14.61,0.97,1.98,2.17,-2741800000
104,FI,"Fiserv, Inc.",86840838840,148.42,-1.28%,19429000000,0.23,110051838840,27.79,,,5261000000,3240000000,5.34,40.90%,5058000000,8168000000,4863000000,-1151000000,-3396000000,315000000,783000000,-1.51%,24425000000,9.02%,92698000000,63115000000,3.02,13.47,0.92,2.42,3.30,1433000000
105,CMG,"Chipotle Mexican Grill, Inc.",86626523280,3153.84,0.07%,10204917000,1.28,89338014280,67.30,,,1631499000,1296380000,46.86,26.75%,1704607000,2030659000,1897675000,-1011499000,-566843000,318672000,408227000,33.54%,4157497000,10.23%,8411249000,5049920000,25.77,43.99,1.26,47.12,2.89,-543446000
106,AMT,American Tower Corporation,86404384250,185.03,-0.48%,11211100000,0.17,131728684250,41.77,3.50%,6.49%,3485900000,2064900000,4.43,48.66%,3699600000,6541400000,4935500000,-1854800000,-2475000000,591300000,210000000,48.70%,47841000000,1.99%,66679000000,56017300000,21.35,20.14,0.71,4.03,1.76,-1224000000
107,SO,The Southern Company,84784562200,77.54,-0.27%,25419000000,0.18,149317562200,20.09,3.71%,2.92%,6310000000,4244000000,3.86,25.73%,7395000000,12409000000,8020000000,-9935000000,1530000000,-385000000,622000000,,65246000000,7.76%,140120000000,104506000000,2.38,12.03,0.48,1.15,3.94,2965000000
108,HCA,"HCA Healthcare, Inc.",83461515240,318.66,-0.01%,66716000000,1.21,124000267260,15.91,0.83%,8.62%,9753000000,5470000000,20.03,0.96%,9122000000,12238000000,10097000000,-5069000000,-4585000000,442000000,1681000000,27.84%,42103000000,3.77%,56962000000,55692000000,,10.13,1.67,6.24,2.15,3885000000
109,WM,"Waste Management, Inc.",82807596180,206.46,-1.13%,20693000000,0.64,98583596180,33.79,1.45%,7.41%,3766000000,2479000000,6.11,11.90%,3732000000,5812000000,5042000000,-3068000000,-1942000000,33000000,743000000,43.27%,16098000000,4.74%,32666000000,25588000000,11.69,16.96,0.72,2.52,1.56,-406000000
110,BMY,Bristol-Myers Squibb Company,82077279000,40.49,-1.82%,45534000000,0.48,128084279000,,5.93%,5.41%,-5846000000,-6148000000,-3.10,,-5859000000,4004000000,13724000000,-21703000000,8278000000,286000000,289000000,12.89%,55677000000,47.18%,99031000000,82483000000,4.98,31.99,0.44,0.89,2.07,-633000000
111,GD,General Dynamics Corporation,81579391760,297.34,-0.76%,43122000000,0.80,89802391760,24.25,1.91%,5.49%,4343000000,3384000000,12.26,0.33%,4406000000,5017000000,2970000000,-933000000,-3035000000,-1002000000,688000000,-29.64%,9259000000,-11.84%,55246000000,33836000000,3.81,17.90,0.66,3.65,1.56,6877000000
112,CDNS,"Cadence Design Systems, Inc.",80608812140,296.21,0.66%,4077399000,0.74,80245706140,77.14,,,1178718000,1046983000,3.84,22.68%,1306099000,1457473000,1335007000,-456346000,-765625000,95455000,223499000,16.23%,649312000,-4.27%,5722130000,2154534000,22.59,55.06,1.06,6.15,1.68,-198722000
113,APH,Amphenol Corporation,80468923920,133.98,-1.66%,12836900000,0.80,82814823920,40.97,0.66%,4.82%,2652600000,2037500000,3.27,5.83%,2682000000,3095900000,2595800000,-1154100000,-923200000,466000000,502800000,13.93%,4309400000,-5.58%,16722500000,7957900000,9.27,26.75,1.28,2.59,2.15,2407600000
114,GILD,"Gilead Sciences, Inc.",79659649000,63.94,-2.65%,27450000000,0.45,100135649000,182.69,4.82%,2.70%,1577000000,484000000,0.35,-92.10%,2069000000,4812000000,8481000000,-3646000000,-5080000000,-218000000,617000000,-5.80%,25194000000,-0.18%,56292000000,38837000000,4.54,20.81,0.24,1.19,2.92,-25000000
115,ZTS,Zoetis Inc.,78163333500,171.30,0.72%,8734000000,0.62,82958333500,33.01,1.01%,15.24%,3220000000,2391000000,5.19,17.42%,3223000000,3720000000,2399000000,-692000000,-1831000000,-134000000,598000000,19.99%,6770000000,0.42%,14348000000,9296000000,15.45,22.30,0.86,3.76,1.21,2499000000
116,MO,"Altria Group, Inc.",78117812400,45.48,-0.02%,24340000000,0.66,99551812400,9.49,8.62%,4.26%,11464000000,8472000000,4.79,54.02%,12202000000,12487000000,9180000000,1089000000,-10597000000,-328000000,2716000000,13.26%,25042000000,-1.36%,36475000000,41539000000,,7.97,0.68,0.54,3.34,-9345000000
117,DUK,Duke Energy Corporation,78087587420,101.18,-0.97%,29455000000,0.16,159951587420,25.42,4.05%,1.99%,7359000000,3069000000,3.98,28.39%,6747000000,13021000000,10869000000,-12608000000,1633000000,-106000000,461000000,,82323000000,6.89%,178670000000,128032000000,1.58,12.28,0.45,1.36,3.79,2515000000
118,FCX,Freeport-McMoRan Inc.,77038958700,53.63,4.08%,23787000000,0.46,80221958700,47.46,1.12%,0.77%,6258000000,1658000000,1.13,-37.22%,4394000000,6658000000,6125000000,-5069000000,-1820000000,-764000000,2283000000,55.71%,9425000000,-2.18%,54198000000,26093000000,4.54,12.05,2.02,1.72,1.40,3064000000
119,ICE,"Intercontinental Exchange, Inc.",76676842800,133.68,-1.95%,10232000000,0.08,96617842800,30.73,1.35%,7.14%,3788000000,2480000000,4.35,68.60%,3815000000,5151000000,3898000000,-10583000000,-27516000000,-34200000000,462000000,12.12%,22309000000,-2.63%,131397000000,105108000000,2.92,18.76,1.03,2.07,1.89,42000000
120,SHW,The Sherwin-Williams Company,76503339770,301.73,-1.02%,22976800000,0.99,89007439770,32.13,0.95%,9.54%,3579500000,2416600000,9.39,15.07%,3546300000,4628200000,3374800000,-1127200000,-2233100000,28500000,718500000,95.55%,12684000000,-2.43%,23428100000,19924400000,21.84,19.23,1.18,5.04,1.87,1238400000
121,CL,Colgate-Palmolive Company,75431345540,91.94,-1.46%,19752000000,1.21,83041345540,29.09,2.17%,2.65%,4122000000,2611000000,3.16,64.58%,3875000000,4464000000,3691000000,-671000000,-2779000000,212000000,1028000000,36.48%,8689000000,-2.45%,16571000000,15954000000,327.96,18.60,0.39,1.11,2.42,-215000000
122,CME,CME Group Inc.,75072927000,208.50,-2.99%,5625200000,0.04,76941027000,23.72,2.21%,7.14%,3481600000,3157300000,8.79,11.55%,4269800000,4619000000,3444100000,15300000,-37204400000,-33745000000,912500000,9.27%,97899900000,-25.57%,132053700000,104899500000,2.76,16.66,0.49,3.81,1.92,397700000
123,TT,Trane Technologies plc,74313625120,328.31,-2.84%,18227200000,0.95,78344525120,35.08,1.02%,11.97%,2978800000,2153100000,9.36,21.24%,2918900000,3278700000,2628300000,-1162900000,-1277800000,157000000,530800000,64.52%,4880800000,1.05%,19341200000,12430400000,10.79,23.90,1.20,6.76,2.78,837500000
124,MCO,Moody's Corporation,74099080000,405.80,-1.17%,6232000000,0.43,78898080000,44.30,0.84%,10.20%,2384000000,1683000000,9.16,22.46%,2445000000,2830000000,2318000000,-280000000,-1676000000,357000000,497000000,55.29%,7333000000,-7.38%,15011000000,11276000000,20.73,27.88,1.26,6.66,2.03,-316000000
125,TDG,TransDigm Group Incorporated,73749945490,1317.94,-2.40%,7304000000,0.36,91317945490,52.28,2.66%,,3293000000,1450000000,25.21,50.87%,3234000000,3516000000,1733000000,-995000000,-416000000,320000000,474000000,64.00%,22406000000,7.41%,21577000000,24599000000,,25.97,1.40,27.40,4.68,2284000000
126,EQIX,"Equinix, Inc.",72954960647,768.71,0.34%,8316927000,0.26,88704960647,77.10,2.22%,24.35%,1404436000,941392000,9.97,13.04%,1496128000,3410166000,3123187000,-3429228000,-727791000,-1113331000,146195000,,17277000000,1.55%,31937000000,19613000000,5.93,26.01,0.62,19.69,2.99,56000000
127,CEG,Constellation Energy Corporation,72904366072,231.27,0.28%,23514000000,0.48,81031366072,30.84,0.61%,50.00%,2392000000,2410000000,7.50,,3755000000,6358000000,-5177000000,3642000000,1857000000,322000000,894000000,,9983000000,50.60%,51986000000,40328000000,6.45,12.74,0.75,8.09,1.44,2348000000
128,EOG,"EOG Resources, Inc.",72327379350,125.85,2.09%,24265000000,0.56,71144379350,9.96,2.89%,10.23%,9715000000,7360000000,12.64,-21.00%,9533000000,13301000000,10988000000,-6370000000,-4344000000,274000000,2034000000,-43.48%,4109000000,-1.56%,44796000000,16160000000,2.53,5.35,1.39,2.39,3.25,715000000
129,NXPI,NXP Semiconductors N.V.,71496916920,279.63,0.89%,13281000000,0.56,78366916920,25.64,1.45%,14.29%,3710000000,2821000000,10.82,3.84%,3664000000,4722000000,3732000000,-1431000000,-2265000000,-842000000,546000000,11.18%,10178000000,-8.86%,23320000000,14170000000,8.10,16.60,1.55,6.58,1.69,658000000
130,MCK,McKesson Corporation,71396109811,549.26,-2.05%,308951000000,4.68,74203109811,24.53,0.45%,14.81%,3909000000,3002000000,22.39,-10.55%,3883000000,4746000000,4314000000,-1072000000,-3342000000,-94000000,629000000,-21.17%,7390000000,1.30%,67443000000,69042000000,,15.63,0.45,9.69,3.07,-8625000000
131,ITW,Illinois Tool Works Inc.,70843144000,237.41,-1.11%,16061000000,1.03,78209144000,23.41,2.36%,6.87%,4195000000,3062000000,10.14,1.50%,4250000000,4643000000,3400000000,-444000000,-3121000000,-184000000,911000000,28.65%,8325000000,-0.66%,15653000000,12632000000,23.46,16.84,1.15,3.46,6.43,2634000000
132,TGT,Target Corporation,68053167200,147.10,1.29%,107412000000,1.98,83565167200,16.45,2.99%,1.85%,5707000000,4138000000,8.94,49.50%,5799000000,8600000000,8621000000,-4760000000,-2285000000,1576000000,1159000000,,19317000000,2.88%,55356000000,41924000000,5.07,9.72,1.17,4.04,2.18,-4495000000
133,CTAS,Cintas Corporation,68013692790,670.33,-1.83%,9410151000,1.07,70550607790,46.26,0.81%,17.39%,1991837000,1503478000,14.49,16.29%,1994802000,2427334000,1940364000,-623339000,-1277713000,39920000,388887000,17.75%,2665398000,-8.63%,8978875000,4744792000,16.06,29.07,1.26,10.01,3.51,1673048000
134,PH,Parker-Hannifin Corporation,67681978140,526.54,-0.62%,19838734000,0.67,78637493140,24.79,1.24%,10.97%,4127669000,2768208000,21.24,83.90%,4055510000,4961036000,3332113000,-286198000,-3161321000,-129347000,742897000,24.71%,11370967000,-15.18%,29578330000,17977909000,5.84,15.85,1.51,11.28,1.52,2613492000
135,NOC,Northrop Grumman Corporation,67409445000,455.50,-2.34%,40122000000,0.87,80920445000,31.70,1.81%,8.64%,2661000000,2158000000,14.37,-53.43%,3041000000,4380000000,3871000000,-1542000000,-1763000000,566000000,321000000,59.09%,16572000000,6.51%,47818000000,33595000000,4.74,18.47,0.33,6.71,1.64,-1397000000
136,CVS,CVS Health Corporation,67325493100,53.63,-3.44%,360935000000,1.44,136028493100,9.41,4.96%,9.96%,12568000000,7321000000,5.70,82.69%,12630000000,12630000000,10891000000,-14469000000,-1270000000,-4848000000,2524000000,-53.20%,81792000000,6.95%,249743000000,175593000000,0.91,10.77,0.55,1.69,0.77,-20579000000
137,MAR,"Marriott International, Inc.",66875535080,234.14,-1.04%,24075000000,0.95,79955535080,24.19,1.08%,35.19%,3789000000,2890000000,9.68,13.35%,3863000000,4143000000,3062000000,-501000000,-2684000000,-123000000,371000000,4.93%,13509000000,15.65%,25756000000,27372000000,,19.30,1.62,4.22,3.91,-4239000000
138,SLB,Schlumberger Limited,66507190200,46.53,0.63%,34106000000,0.73,75186190200,15.46,2.36%,23.53%,5643000000,4336000000,3.01,11.90%,5884000000,8233000000,6634000000,-2387000000,-2841000000,1406000000,1049000000,166.04%,12170000000,-5.20%,47856000000,25933000000,3.21,9.13,1.64,0.99,2.96,2760000000
139,BDX,"Becton, Dickinson and Company",65546560800,226.80,-0.87%,19716000000,0.37,80336560800,50.29,1.68%,4.44%,2066000000,1318000000,4.51,-15.54%,2066000000,4356000000,3760000000,-1481000000,-1948000000,326000000,265000000,164.65%,18011000000,-1.17%,54157000000,28510000000,2.56,18.44,0.47,3.66,2.04,1808000000
140,CSX,CSX Corporation,65451056400,33.48,-0.89%,14632000000,0.35,82968056400,18.40,1.43%,9.52%,5451000000,3621000000,1.82,-10.34%,5590000000,7218000000,5382000000,-2311000000,-2879000000,192000000,1151000000,-14.22%,19002000000,3.27%,42695000000,30093000000,5.19,11.49,1.19,0.56,2.30,-480000000
141,ECL,Ecolab Inc.,65366973000,228.90,-2.31%,15500500000,0.72,72860973000,42.39,1.00%,6.67%,2158600000,1551000000,5.40,33.66%,2197500000,3121600000,2863000000,-1002100000,-1777600000,60500000,352400000,90.36%,7973900000,-11.04%,21298500000,13072900000,7.97,23.34,1.09,2.74,2.20,1042000000
142,PYPL,"PayPal Holdings, Inc.",65032928500,62.17,0.86%,30430000000,0.39,54888928500,15.66,,,5197000000,4339000000,3.97,68.22%,5546000000,6613000000,5590000000,1698000000,-2693000000,4581000000,1207000000,-1.12%,9683000000,-7.61%,83347000000,62645000000,3.14,8.30,1.42,1.53,1.80,-5967000000
143,EMR,Emerson Electric Co.,64103805000,112.05,-1.21%,16529000000,0.37,72554805000,5.99,1.87%,0.96%,2147000000,10739000000,18.72,130.26%,11296000000,12670000000,1309000000,1192000000,-2174000000,272000000,523000000,-58.02%,10769000000,6.28%,46440000000,19659000000,3.07,5.73,1.36,1.94,1.70,2182000000
144,MPC,Marathon Petroleum Corporation,63123442800,179.16,0.76%,148441000000,1.71,84080442800,8.85,1.84%,13.96%,12237000000,7894000000,20.24,-39.00%,10731000000,14065000000,11592000000,-3103000000,-13277000000,-4172000000,2287000000,-38.45%,28531000000,-0.04%,85528000000,55757000000,2.75,5.98,1.54,4.50,3.23,4828000000
145,USB,U.S. Bancorp,62059494200,39.77,-1.88%,25156000000,0.04,54869494200,13.21,4.93%,2.11%,6379000000,4668000000,3.01,-19.73%,6349000000,7346000000,10266000000,9029000000,-8538000000,10757000000,1299000000,-23.87%,69795000000,-29.44%,683606000000,627573000000,1.12,7.47,1.06,0.80,2.60,
146,FDX,FedEx Corporation,61037931240,248.04,0.18%,87514000000,1.00,92907931240,14.33,2.03%,9.57%,5507000000,4395000000,17.31,49.10%,6518000000,10776000000,9061000000,-5710000000,-3035000000,271000000,1541000000,58.79%,37514000000,-1.51%,86114000000,59739000000,2.31,8.62,1.24,4.23,3.36,986000000
147,AON,Aon plc,60719781060,279.26,-0.53%,13575000000,0.38,71444781060,21.87,0.97%,9.80%,3777000000,2585000000,12.77,2.49%,3711000000,3964000000,3301000000,-5354000000,1992000000,-1000000,609000000,4.31%,17133000000,42.38%,40767000000,40795000000,,18.02,0.89,5.08,1.75,984000000
148,PNC,"The PNC Financial Services Group, Inc.",60617152380,152.34,-1.24%,21032000000,0.04,73779152380,12.79,4.07%,3.33%,7007000000,4793000000,11.91,-18.48%,6279000000,6468000000,9993000000,-7032000000,-2968000000,-7000000,1048000000,-16.36%,72707000000,19.54%,566162000000,514788000000,1.18,11.41,1.15,2.60,2.81,
149,PSX,Phillips 66,60523387520,142.76,0.06%,151237000000,1.99,79107387520,10.96,3.22%,6.44%,8750000000,5802000000,13.03,-49.59%,8593000000,10598000000,5594000000,-2190000000,-8821000000,-5395000000,1859000000,-66.27%,20154000000,9.03%,76399000000,45606000000,2.04,7.46,1.40,3.10,3.29,3792000000
150,WELL,Welltower Inc.,60287870280,100.83,-0.04%,6937007000,0.16,72396000280,122.96,2.42%,,1063713000,441567000,0.82,272.73%,1061838000,2489690000,1632609000,-5355836000,5556744000,1839539000,9510000,-47.65%,14586465000,-5.14%,44553585000,16005677000,2.19,29.08,1.07,1.57,3.81,
151,MSI,"Motorola Solutions, Inc.",60024973430,359.89,-1.29%,10197000000,0.79,65266973430,44.49,1.09%,11.37%,2414000000,1392000000,8.09,1.12%,1898000000,2239000000,2434000000,-408000000,-1544000000,490000000,300000000,55.58%,6754000000,5.32%,13326000000,12789000000,115.21,29.15,0.91,5.10,2.58,-304000000
152,APD,"Air Products and Chemicals, Inc.",58828836780,264.63,0.01%,12152800000,0.37,70464836780,23.88,2.68%,4.45%,2686900000,2469900000,11.08,13.29%,3238400000,4645600000,3276000000,-6666400000,3718700000,292600000,559700000,,14273800000,46.05%,35921700000,19586800000,3.94,15.17,0.81,4.17,2.21,480300000
153,MRNA,"Moderna, Inc.",58712368000,153.20,-8.05%,5153000000,0.27,51401368000,,,,-5139000000,-5968000000,-15.66,,-4802000000,-4223000000,-2882000000,2313000000,-821000000,-1390000000,1166000000,,1212000000,30.74%,16729000000,3912000000,4.58,,1.57,7.92,6.93,-1303000000
154,CARR,Carrier Global Corporation,58268510710,64.67,-1.49%,23007000000,0.73,74355510710,45.22,1.18%,11.94%,2447000000,1245000000,1.43,-51.69%,2143000000,2863000000,2527000000,-11641000000,7204000000,-2037000000,568000000,19.20%,17400000000,85.98%,40810000000,28904000000,5.04,25.97,1.21,1.44,3.16,3013000000
155,RSG,"Republic Services, Inc.",57793171320,183.51,-1.77%,15245100000,0.50,70533571320,32.14,1.17%,8.08%,2886400000,1801000000,5.71,19.21%,2788700000,4431000000,3741600000,-3692400000,-97300000,-48300000,467000000,17.96%,12832000000,7.61%,31381700000,20561100000,5.34,15.92,0.68,2.25,1.91,-712000000
156,ROP,"Roper Technologies, Inc.",57057125900,533.02,-2.14%,6388800000,0.23,64580725900,38.65,0.56%,9.98%,1825500000,1483100000,13.79,-47.53%,2064400000,2100400000,2102900000,-3978100000,889900000,-983200000,400800000,208.98%,7722000000,15.88%,29978500000,12180900000,3.21,30.75,1.00,8.05,2.00,-1182500000
157,PCAR,PACCAR Inc,56581452750,107.95,-1.35%,35398400000,0.91,62585252750,11.21,1.11%,14.16%,6486400000,5062200000,9.63,60.50%,6900500000,7838300000,4974200000,-3104400000,-87000000,1784400000,1271500000,88.35%,14029700000,17.74%,40373600000,23501700000,3.35,7.98,0.95,2.11,3.61,-45100000
158,ORLY,"O'Reilly Automotive, Inc.",56391689691,957.51,-2.98%,16080626000,1.17,63890502691,24.30,,,3222212000,2376934000,39.41,13.93%,3241964000,3666926000,3024535000,-1175169000,-1820647000,29392000,650786000,-19.68%,7588077000,6.01%,14213054000,15604252000,,17.42,0.90,18.05,2.32,-1978716000
159,OXY,Occidental Petroleum Corporation,55157687770,62.21,0.42%,27670000000,0.38,74721687770,17.04,1.42%,29.03%,5961000000,3508000000,3.65,-58.29%,6878000000,13715000000,11445000000,-7192000000,-4138000000,115000000,1566000000,-56.99%,20836000000,0.82%,74277000000,43310000000,1.79,5.45,1.66,1.15,6.31,-112000000
160,MMM,3M Company,54605663480,98.68,-0.99%,32653000000,0.64,65791663480,,5.28%,-12.88%,-8868000000,-7043000000,-12.71,,-9377000000,-7426000000,6172000000,-1214000000,2190000000,7087000000,-2596000000,14.09%,22157000000,31.50%,55243000000,50310000000,11.22,,1.04,2.07,1.79,-1467000000
161,AJG,Arthur J. Gallagher & Co.,54260105000,248.33,-1.48%,10622500000,0.19,61117605000,50.37,0.97%,8.49%,2143200000,1091400000,4.93,-8.36%,1672300000,2417100000,2392500000,-3228300000,1910400000,989800000,259900000,54.07%,8620100000,20.25%,60975900000,49631700000,4.80,25.29,0.69,3.63,2.19,372900000
162,MNST,Monster Beverage Corporation,53805354500,51.65,-1.99%,7340195000,0.77,50337319500,32.48,,,2010282000,1675593000,1.59,29.27%,2148669000,2231302000,1705420000,-175951000,-621299000,903864000,473076000,32.57%,92690000,122.13%,10098066000,1520277000,6.27,22.56,0.74,0.87,2.29,1245961000
163,VLO,Valero Energy Corporation,53486735720,163.57,0.71%,140086000000,2.25,59466735720,8.04,2.62%,4.50%,9494000000,7013000000,20.35,-42.12%,9691000000,12427000000,7905000000,-1953000000,-6587000000,-604000000,2092000000,-55.05%,10897000000,-4.67%,62574000000,33750000000,2.05,4.79,1.54,3.91,4.95,5461000000
164,MCHP,Microchip Technology Incorporated,53055074520,98.82,0.60%,7634400000,0.47,58735174520,28.40,1.83%,27.81%,2571000000,1906900000,3.48,-13.43%,2564200000,3443700000,2892700000,-392100000,-2414900000,85700000,459000000,-16.83%,5999800000,-6.83%,15873200000,9215400000,7.97,17.06,1.60,2.48,4.41,1173300000
165,EW,Edwards Lifesciences Corporation,52450304000,87.04,-1.07%,6143400000,0.66,51451904000,37.52,,,1506300000,1413800000,2.32,-3.73%,1630400000,1807700000,528200000,236400000,-442700000,352600000,199000000,-73.01%,699200000,1.66%,9736300000,2549900000,7.37,28.46,1.10,1.88,3.06,1386900000
166,COF,Capital One Financial Corporation,52178183640,136.62,-0.73%,26972000000,0.06,51511183640,10.70,1.76%,,6464000000,4895000000,12.77,-12.17%,6464000000,9245000000,20593000000,-17251000000,1187000000,4529000000,1257000000,23.08%,50361000000,3.25%,481720000000,423919000000,0.90,5.57,1.46,2.42,5.02,
