,No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Asset Turnover,Ent. Value,PE Ratio,Div. Yield,Div. Growth,Op. Income,Net Income,EPS,EBIT,EBITDA,Operating CF,Investing CF,Financing CF,Net CF,Income Tax,Total Debt,Debt Growth (YoY),Assets,Liabilities,PB Ratio,EV/EBITDA,Beta (1Y),ATR,Short Ratio
77,78,ELV,Elevance Health Inc.,120669101420,519.19,171745000000.0,1.56,110853101420.0,19.6,1.26%,12.68%,9079000000.0,6244000000.0,26.49,9087000000.0,10701000000.0,3570000000.0,-4698000000.0,-2786000000.0,-3916000000.0,1799000000.0,26451000000.0,0.0387,111894000000.0,71184000000.0,2.97,10.36,0.79,8.43,1.74
78,79,PGR,The Progressive Corporation,120173515640,205.18,65047800000.0,0.74,126895315640.0,21.0,0.20%,-25.00%,7563900000.0,5738600000.0,9.77,7546900000.0,7842900000.0,12429200000.0,-11689700000.0,-860200000.0,-120700000.0,1503300000.0,6889700000.0,0.0783,94127900000.0,72316600000.0,5.51,16.18,0.34,3.74,1.83
79,80,C,Citigroup Inc.,119119628000,62.45,78119000000.0,0.03,463181628000.0,18.15,3.40%,3.92%,11271000000.0,7993000000.0,3.44,11126000000.0,15685000000.0,-53762000000.0,9458000000.0,-2728000000.0,-51229000000.0,3133000000.0,616792000000.0,0.0679,2432510000000.0,2225112000000.0,0.58,29.53,1.48,1.22,2.23
80,81,UPS,"United Parcel Service, Inc.",117707798828,137.58,89739000000.0,1.29,137591798828.0,19.91,4.74%,3.50%,8213000000.0,5926000000.0,6.91,8379000000.0,11809000000.0,11197000000.0,-3754000000.0,-9204000000.0,-1816000000.0,1661000000.0,24397000000.0,-0.0757,67628000000.0,50695000000.0,6.96,11.65,1.05,2.72,3.41
81,82,ADI,"Analog Devices, Inc.",115836896480,233.44,10464722000.0,0.21,121531776480.0,54.54,1.58%,9.88%,2535995000.0,2140418000.0,4.28,2579808000.0,4764067000.0,4276433000.0,-1626986000.0,-1887361000.0,762086000.0,144210000.0,8058692000.0,0.19760000000000003,48861866000.0,13613077000.0,3.29,25.51,1.14,5.69,3.7
82,83,VRTX,Vertex Pharmaceuticals Incorporated,115318724640,446.88,10185000000.0,0.46,105868724640.0,29.0,0,0,4142700000.0,4019400000.0,15.41,4810500000.0,5006500000.0,3944000000.0,-3444500000.0,-625000000.0,-126200000.0,748000000.0,721300000.0,-0.086,23917400000.0,5370800000.0,6.22,21.15,0.39,8.42,3.46
83,84,TJX,"The TJX Companies, Inc.",114905817400,101.42,54217000000.0,1.84,121847817400.0,26.27,1.48%,12.73%,5797000000.0,4474000000.0,3.86,5797000000.0,6761000000.0,6057000000.0,-1717000000.0,-4215000000.0,123000000.0,1493000000.0,12542000000.0,-0.0159,29747000000.0,22445000000.0,15.74,18.02,0.88,1.86,2.46
84,85,BLK,"BlackRock, Inc.",114631526000,771.41,18344000000.0,0.15,116889526000.0,19.6,2.65%,2.23%,6530000000.0,5918000000.0,39.35,7627000000.0,8188000000.0,4151000000.0,-759000000.0,297000000.0,3730000000.0,1384000000.0,11632000000.0,0.36979999999999996,123988000000.0,82243000000.0,2.89,14.28,1.38,12.38,2.81
85,86,BSX,Boston Scientific Corporation,110513430600,75.17,14707000000.0,0.42,118803430600.0,63.17,0,0,2463000000.0,1766000000.0,1.19,2420000000.0,3635000000.0,2477000000.0,-2375000000.0,1643000000.0,1734000000.0,377000000.0,10619000000.0,0.17920000000000003,36669000000.0,16501000000.0,5.55,32.68,0.77,1.18,1.76
86,87,LMT,Lockheed Martin Corporation,110006774240,458.48,69640000000.0,1.26,126634774240.0,16.78,2.75%,5.51%,8426000000.0,6776000000.0,27.33,8908000000.0,10364000000.0,7991000000.0,-1807000000.0,-5834000000.0,350000000.0,1163000000.0,19418000000.0,0.2447,54963000000.0,48313000000.0,16.54,12.22,0.46,5.35,1.74
87,88,MDT,Medtronic plc,108881240000,82.0,32320000000.0,0.36,125742240000.0,26.11,3.42%,1.47%,5658000000.0,4201000000.0,3.14,6203000000.0,8875000000.0,6470000000.0,-2145000000.0,-6981000000.0,-2899000000.0,1299000000.0,25182000000.0,-0.1047,90836000000.0,38840000000.0,2.1,14.17,0.8,1.36,2.78
88,89,BA,The Boeing Company,107478810720,175.08,76442000000.0,0.57,147889810720.0,32.107450372611794,0,0,-712000000.0,-2151000000.0,-3.54,513000000.0,2359000000.0,2916000000.0,1460000000.0,-8269000000.0,-3901000000.0,285000000.0,47940000000.0,-0.13449999999999998,134484000000.0,151500000000.0,11.292685176452398,62.69,1.54,5.37,1.58
89,90,CB,Chubb Limited,106647861040,262.64,51572000000.0,0.23,122840861040.0,11.67,1.39%,4.18%,10576000000.0,9279000000.0,22.51,10438000000.0,10756000000.0,13601000000.0,-10824000000.0,-2503000000.0,269000000.0,469000000.0,18844000000.0,0.1702,234867000000.0,170436000000.0,1.76,11.42,0.63,4.65,1.67
90,91,KLAC,KLA Corporation,105845889600,786.14,9598649000.0,0.67,108180501600.0,41.14,0.74%,8.65%,3322403000.0,2610104000.0,19.11,3322403000.0,3727945000.0,3375075000.0,-1412677000.0,-1668477000.0,279654000.0,410391000.0,6628914000.0,0.1255,14957289000.0,11862404000.0,34.2,29.02,1.33,19.71,2.58
91,92,REGN,"Regeneron Pharmaceuticals, Inc.",105458429720,973.16,13100100000.0,0.4,97642229720.0,28.74,0,0,3851800000.0,3857800000.0,33.86,4113100000.0,4548700000.0,4738900000.0,-4636500000.0,-1420500000.0,-1319000000.0,184200000.0,2703300000.0,0.0006,34369600000.0,7378500000.0,3.91,21.47,0.17,17.19,3.4
92,93,DE,Deere & Company,102789258660,369.27,60785000000.0,0.6,160818258660.0,10.75,1.59%,17.62%,15518000000.0,9958000000.0,34.36,15537000000.0,17567000000.0,8927000000.0,-8292000000.0,502000000.0,1122000000.0,2803000000.0,63166000000.0,0.1684,101371000000.0,79192000000.0,4.66,9.15,1.05,7.68,2.72
93,94,MMC,"Marsh & McLennan Companies, Inc.",100500914280,203.97,23285000000.0,0.49,102969914280.0,25.88,1.39%,20.34%,5481000000.0,3921000000.0,7.88,5781000000.0,6796000000.0,4296000000.0,-1417000000.0,-1757000000.0,1070000000.0,1259000000.0,15379000000.0,0.026600000000000002,47572000000.0,34950000000.0,8.09,15.15,0.9,2.36,2.72
94,95,PANW,"Palo Alto Networks, Inc.",99733638000,308.01,7791300000.0,0.48,97803238000.0,44.7,0,0,699000000.0,2447600000.0,6.89,999500000.0,1329900000.0,3159000000.0,-978800000.0,-2798600000.0,-618400000.0,-1461800000.0,1532300000.0,-0.6117,17930800000.0,13463000000.0,22.32,73.54,1.18,9.65,3.18
95,96,ADP,"Automatic Data Processing, Inc.",99580500300,243.3,18912000000.0,0.34,99588600300.0,27.12,2.30%,13.78%,4880600000.0,3699400000.0,8.97,5154600000.0,5721200000.0,4042700000.0,-1636300000.0,-310700000.0,2084200000.0,1089100000.0,3299800000.0,-0.0063,64181600000.0,59554900000.0,21.52,17.41,0.79,3.78,2.98
96,97,PLD,"Prologis, Inc.",97213620000,105.0,8211503000.0,0.09,126270698000.0,30.7,3.66%,10.24%,3849104000.0,3174466000.0,3.42,4090714000.0,6610743000.0,5314221000.0,-6454308000.0,1150263000.0,-21912000.0,211767000.0,29557667000.0,0.1751,93310310000.0,35513192000.0,1.83,19.1,1.06,2.5,2.16
97,98,ANET,"Arista Networks, Inc.",96355988870,307.49,6080191000.0,0.64,90906290870.0,42.83,0,0,2432812000.0,2288540000.0,7.18,2648063000.0,2731585000.0,2173336000.0,-961357000.0,-78396000.0,1132336000.0,359523000.0,22744068475.127754,0.06482841126336876,10550179000.0,2687864000.0,12.26,33.28,1.14,10.42,1.17
98,99,ABNB,"Airbnb, Inc.",94680878891,147.01,10241000000.0,0.47,85579878891.0,19.55,0,0,1624000000.0,4939000000.0,7.52,2344000000.0,2391000000.0,4220000000.0,-943000000.0,-2582000000.0,657000000.0,-2674000000.0,1992000000.0,-0.1294,24537000000.0,16641000000.0,11.99,35.79,1.25,3.7,3.04
99,100,CI,Cigna Corporation,94656297540,333.21,206003000000.0,1.36,117877297540.0,27.33,1.68%,11.91%,8777000000.0,3620000000.0,12.19,5167000000.0,8194000000.0,11625000000.0,-2686000000.0,-6786000000.0,2155000000.0,137000000.0,32768000000.0,0.0069,153119000000.0,111769000000.0,2.3,14.39,0.58,5.42,2.22
100,101,MDLZ,"Mondelez International, Inc.",90635695200,67.57,36140000000.0,0.5,108827695200.0,21.45,2.52%,10.39%,6724000000.0,4290000000.0,3.15,6084000000.0,7315000000.0,4915000000.0,1730000000.0,-7024000000.0,-477000000.0,1511000000.0,19568000000.0,-0.1384,77624000000.0,49110000000.0,3.18,14.88,0.55,1.07,1.63
101,102,SNPS,"Synopsys, Inc.",89686719360,587.94,6190358000.0,0.59,88671736360.0,64.05,0,0,1417687000.0,1426661000.0,9.18,1542418000.0,1894313000.0,1274383000.0,-520575000.0,-760281000.0,-34737000.0,115757000.0,644717000.0,-0.0655,11011837000.0,3822996000.0,12.54,46.81,1.07,13.93,3.89
102,103,SBUX,Starbucks Corporation,87761596000,77.48,36530200000.0,1.25,109811496000.0,21.34,2.94%,7.69%,5561400000.0,4157800000.0,3.63,5993400000.0,7518000000.0,6537800000.0,-2627800000.0,-4130800000.0,-307600000.0,1270800000.0,25176500000.0,0.027200000000000002,29363200000.0,37805400000.0,9.22101824138052,14.61,0.97,1.98,2.17
103,104,FI,"Fiserv, Inc.",86840838840,148.42,19429000000.0,0.23,110051838840.0,27.79,0,0,5261000000.0,3240000000.0,5.34,5058000000.0,8168000000.0,4863000000.0,-1151000000.0,-3396000000.0,315000000.0,783000000.0,24425000000.0,0.0902,92698000000.0,63115000000.0,3.02,13.47,0.92,2.42,3.3
104,105,CMG,"Chipotle Mexican Grill, Inc.",86626523280,3153.84,10204917000.0,1.28,89338014280.0,67.3,0,0,1631499000.0,1296380000.0,46.86,1704607000.0,2030659000.0,1897675000.0,-1011499000.0,-566843000.0,318672000.0,408227000.0,4157497000.0,0.1023,8411249000.0,5049920000.0,25.77,43.99,1.26,47.12,2.89
105,106,AMT,American Tower Corporation,86404384250,185.03,11211100000.0,0.17,131728684250.0,41.77,3.50%,6.49%,3485900000.0,2064900000.0,4.43,3699600000.0,6541400000.0,4935500000.0,-1854800000.0,-2475000000.0,591300000.0,210000000.0,47841000000.0,0.0199,66679000000.0,56017300000.0,21.35,20.14,0.71,4.03,1.76
106,107,SO,The Southern Company,84784562200,77.54,25419000000.0,0.18,149317562200.0,20.09,3.71%,2.92%,6310000000.0,4244000000.0,3.86,7395000000.0,12409000000.0,8020000000.0,-9935000000.0,1530000000.0,-385000000.0,622000000.0,65246000000.0,0.0776,140120000000.0,104506000000.0,2.38,12.03,0.48,1.15,3.94
107,108,HCA,"HCA Healthcare, Inc.",83461515240,318.66,66716000000.0,1.21,124000267260.0,15.91,0.83%,8.62%,9753000000.0,5470000000.0,20.03,9122000000.0,12238000000.0,10097000000.0,-5069000000.0,-4585000000.0,442000000.0,1681000000.0,42103000000.0,0.0377,56962000000.0,55692000000.0,8.769213295543283,10.13,1.67,6.24,2.15
108,109,WM,"Waste Management, Inc.",82807596180,206.46,20693000000.0,0.64,98583596180.0,33.79,1.45%,7.41%,3766000000.0,2479000000.0,6.11,3732000000.0,5812000000.0,5042000000.0,-3068000000.0,-1942000000.0,33000000.0,743000000.0,16098000000.0,0.047400000000000005,32666000000.0,25588000000.0,11.69,16.96,0.72,2.52,1.56
109,110,BMY,Bristol-Myers Squibb Company,82077279000,40.49,45534000000.0,0.48,128084279000.0,24.519178660032647,5.93%,5.41%,-5846000000.0,-6148000000.0,-3.1,-5859000000.0,4004000000.0,13724000000.0,-21703000000.0,8278000000.0,286000000.0,289000000.0,55677000000.0,0.4718,99031000000.0,82483000000.0,4.98,31.99,0.44,0.89,2.07
110,111,GD,General Dynamics Corporation,81579391760,297.34,43122000000.0,0.8,89802391760.0,24.25,1.91%,5.49%,4343000000.0,3384000000.0,12.26,4406000000.0,5017000000.0,2970000000.0,-933000000.0,-3035000000.0,-1002000000.0,688000000.0,9259000000.0,-0.1184,55246000000.0,33836000000.0,3.81,17.9,0.66,3.65,1.56
111,112,CDNS,"Cadence Design Systems, Inc.",80608812140,296.21,4077399000.0,0.74,80245706140.0,77.14,0,0,1178718000.0,1046983000.0,3.84,1306099000.0,1457473000.0,1335007000.0,-456346000.0,-765625000.0,95455000.0,223499000.0,649312000.0,-0.042699999999999995,5722130000.0,2154534000.0,22.59,55.06,1.06,6.15,1.68
112,113,APH,Amphenol Corporation,80468923920,133.98,12836900000.0,0.8,82814823920.0,40.97,0.66%,4.82%,2652600000.0,2037500000.0,3.27,2682000000.0,3095900000.0,2595800000.0,-1154100000.0,-923200000.0,466000000.0,502800000.0,4309400000.0,-0.0558,16722500000.0,7957900000.0,9.27,26.75,1.28,2.59,2.15
113,114,GILD,"Gilead Sciences, Inc.",79659649000,63.94,27450000000.0,0.45,100135649000.0,182.69,4.82%,2.70%,1577000000.0,484000000.0,0.35,2069000000.0,4812000000.0,8481000000.0,-3646000000.0,-5080000000.0,-218000000.0,617000000.0,25194000000.0,-0.0018,56292000000.0,38837000000.0,4.54,20.81,0.24,1.19,2.92
114,115,ZTS,Zoetis Inc.,78163333500,171.3,8734000000.0,0.62,82958333500.0,33.01,1.01%,15.24%,3220000000.0,2391000000.0,5.19,3223000000.0,3720000000.0,2399000000.0,-692000000.0,-1831000000.0,-134000000.0,598000000.0,6770000000.0,0.0042,14348000000.0,9296000000.0,15.45,22.3,0.86,3.76,1.21
115,116,MO,"Altria Group, Inc.",78117812400,45.48,24340000000.0,0.66,99551812400.0,9.49,8.62%,4.26%,11464000000.0,8472000000.0,4.79,12202000000.0,12487000000.0,9180000000.0,1089000000.0,-10597000000.0,-328000000.0,2716000000.0,25042000000.0,-0.013600000000000001,36475000000.0,41539000000.0,8.207756079517303,7.97,0.68,0.54,3.34
116,117,DUK,Duke Energy Corporation,78087587420,101.18,29455000000.0,0.16,159951587420.0,25.42,4.05%,1.99%,7359000000.0,3069000000.0,3.98,6747000000.0,13021000000.0,10869000000.0,-12608000000.0,1633000000.0,-106000000.0,461000000.0,82323000000.0,0.0689,178670000000.0,128032000000.0,1.58,12.28,0.45,1.36,3.79
117,118,FCX,Freeport-McMoRan Inc.,77038958700,53.63,23787000000.0,0.46,80221958700.0,47.46,1.12%,0.77%,6258000000.0,1658000000.0,1.13,4394000000.0,6658000000.0,6125000000.0,-5069000000.0,-1820000000.0,-764000000.0,2283000000.0,9425000000.0,-0.0218,54198000000.0,26093000000.0,4.54,12.05,2.02,1.72,1.4
118,119,ICE,"Intercontinental Exchange, Inc.",76676842800,133.68,10232000000.0,0.08,96617842800.0,30.73,1.35%,7.14%,3788000000.0,2480000000.0,4.35,3815000000.0,5151000000.0,3898000000.0,-10583000000.0,-27516000000.0,-34200000000.0,462000000.0,22309000000.0,-0.0263,131397000000.0,105108000000.0,2.92,18.76,1.03,2.07,1.89
119,120,SHW,The Sherwin-Williams Company,76503339770,301.73,22976800000.0,0.99,89007439770.0,32.13,0.95%,9.54%,3579500000.0,2416600000.0,9.39,3546300000.0,4628200000.0,3374800000.0,-1127200000.0,-2233100000.0,28500000.0,718500000.0,12684000000.0,-0.024300000000000002,23428100000.0,19924400000.0,21.84,19.23,1.18,5.04,1.87
120,121,CL,Colgate-Palmolive Company,75431345540,91.94,19752000000.0,1.21,83041345540.0,29.09,2.17%,2.65%,4122000000.0,2611000000.0,3.16,3875000000.0,4464000000.0,3691000000.0,-671000000.0,-2779000000.0,212000000.0,1028000000.0,8689000000.0,-0.0245,16571000000.0,15954000000.0,327.96,18.6,0.39,1.11,2.42
121,122,CME,CME Group Inc.,75072927000,208.5,5625200000.0,0.04,76941027000.0,23.72,2.21%,7.14%,3481600000.0,3157300000.0,8.79,4269800000.0,4619000000.0,3444100000.0,15300000.0,-37204400000.0,-33745000000.0,912500000.0,97899900000.0,-0.2557,132053700000.0,104899500000.0,2.76,16.66,0.49,3.81,1.92
122,123,TT,Trane Technologies plc,74313625120,328.31,18227200000.0,0.95,78344525120.0,35.08,1.02%,11.97%,2978800000.0,2153100000.0,9.36,2918900000.0,3278700000.0,2628300000.0,-1162900000.0,-1277800000.0,157000000.0,530800000.0,4880800000.0,0.0105,19341200000.0,12430400000.0,10.79,23.9,1.2,6.76,2.78
123,124,MCO,Moody's Corporation,74099080000,405.8,6232000000.0,0.43,78898080000.0,44.3,0.84%,10.20%,2384000000.0,1683000000.0,9.16,2445000000.0,2830000000.0,2318000000.0,-280000000.0,-1676000000.0,357000000.0,497000000.0,7333000000.0,-0.0738,15011000000.0,11276000000.0,20.73,27.88,1.26,6.66,2.03
124,125,TDG,TransDigm Group Incorporated,73749945490,1317.94,7304000000.0,0.36,91317945490.0,52.28,2.66%,0,3293000000.0,1450000000.0,25.21,3234000000.0,3516000000.0,1733000000.0,-995000000.0,-416000000.0,320000000.0,474000000.0,22406000000.0,0.0741,21577000000.0,24599000000.0,7.748828914461731,25.97,1.4,27.4,4.68
125,126,EQIX,"Equinix, Inc.",72954960647,768.71,8316927000.0,0.26,88704960647.0,77.1,2.22%,24.35%,1404436000.0,941392000.0,9.97,1496128000.0,3410166000.0,3123187000.0,-3429228000.0,-727791000.0,-1113331000.0,146195000.0,17277000000.0,0.0155,31937000000.0,19613000000.0,5.93,26.01,0.62,19.69,2.99
126,127,CEG,Constellation Energy Corporation,72904366072,231.27,23514000000.0,0.48,81031366072.0,30.84,0.61%,50.00%,2392000000.0,2410000000.0,7.5,3755000000.0,6358000000.0,-5177000000.0,3642000000.0,1857000000.0,322000000.0,894000000.0,9983000000.0,0.506,51986000000.0,40328000000.0,6.45,12.74,0.75,8.09,1.44
127,128,EOG,"EOG Resources, Inc.",72327379350,125.85,24265000000.0,0.56,71144379350.0,9.96,2.89%,10.23%,9715000000.0,7360000000.0,12.64,9533000000.0,13301000000.0,10988000000.0,-6370000000.0,-4344000000.0,274000000.0,2034000000.0,4109000000.0,-0.015600000000000001,44796000000.0,16160000000.0,2.53,5.35,1.39,2.39,3.25
128,129,NXPI,NXP Semiconductors N.V.,71496916920,279.63,13281000000.0,0.56,78366916920.0,25.64,1.45%,14.29%,3710000000.0,2821000000.0,10.82,3664000000.0,4722000000.0,3732000000.0,-1431000000.0,-2265000000.0,-842000000.0,546000000.0,10178000000.0,-0.0886,23320000000.0,14170000000.0,8.1,16.6,1.55,6.58,1.69
129,130,MCK,McKesson Corporation,71396109811,549.26,308951000000.0,4.68,74203109811.0,24.53,0.45%,14.81%,3909000000.0,3002000000.0,22.39,3883000000.0,4746000000.0,4314000000.0,-1072000000.0,-3342000000.0,-94000000.0,629000000.0,7390000000.0,0.013000000000000001,67443000000.0,69042000000.0,7.5015138846248615,15.63,0.45,9.69,3.07
130,131,ITW,Illinois Tool Works Inc.,70843144000,237.41,16061000000.0,1.03,78209144000.0,23.41,2.36%,6.87%,4195000000.0,3062000000.0,10.14,4250000000.0,4643000000.0,3400000000.0,-444000000.0,-3121000000.0,-184000000.0,911000000.0,8325000000.0,-0.0066,15653000000.0,12632000000.0,23.46,16.84,1.15,3.46,6.43
131,132,TGT,Target Corporation,68053167200,147.1,107412000000.0,1.98,83565167200.0,16.45,2.99%,1.85%,5707000000.0,4138000000.0,8.94,5799000000.0,8600000000.0,8621000000.0,-4760000000.0,-2285000000.0,1576000000.0,1159000000.0,19317000000.0,0.0288,55356000000.0,41924000000.0,5.07,9.72,1.17,4.04,2.18
132,133,CTAS,Cintas Corporation,68013692790,670.33,9410151000.0,1.07,70550607790.0,46.26,0.81%,17.39%,1991837000.0,1503478000.0,14.49,1994802000.0,2427334000.0,1940364000.0,-623339000.0,-1277713000.0,39920000.0,388887000.0,2665398000.0,-0.0863,8978875000.0,4744792000.0,16.06,29.07,1.26,10.01,3.51
133,134,PH,Parker-Hannifin Corporation,67681978140,526.54,19838734000.0,0.67,78637493140.0,24.79,1.24%,10.97%,4127669000.0,2768208000.0,21.24,4055510000.0,4961036000.0,3332113000.0,-286198000.0,-3161321000.0,-129347000.0,742897000.0,11370967000.0,-0.1518,29578330000.0,17977909000.0,5.84,15.85,1.51,11.28,1.52
134,135,NOC,Northrop Grumman Corporation,67409445000,455.5,40122000000.0,0.87,80920445000.0,31.7,1.81%,8.64%,2661000000.0,2158000000.0,14.37,3041000000.0,4380000000.0,3871000000.0,-1542000000.0,-1763000000.0,566000000.0,321000000.0,16572000000.0,0.06509999999999999,47818000000.0,33595000000.0,4.74,18.47,0.33,6.71,1.64
135,136,CVS,CVS Health Corporation,67325493100,53.63,360935000000.0,1.44,136028493100.0,9.41,4.96%,9.96%,12568000000.0,7321000000.0,5.7,12630000000.0,12630000000.0,10891000000.0,-14469000000.0,-1270000000.0,-4848000000.0,2524000000.0,81792000000.0,0.0695,249743000000.0,175593000000.0,0.91,10.77,0.55,1.69,0.77
136,137,MAR,"Marriott International, Inc.",66875535080,234.14,24075000000.0,0.95,79955535080.0,24.19,1.08%,35.19%,3789000000.0,2890000000.0,9.68,3863000000.0,4143000000.0,3062000000.0,-501000000.0,-2684000000.0,-123000000.0,371000000.0,13509000000.0,0.1565,25756000000.0,27372000000.0,7.026541870031202,19.3,1.62,4.22,3.91
137,138,SLB,Schlumberger Limited,66507190200,46.53,34106000000.0,0.73,75186190200.0,15.46,2.36%,23.53%,5643000000.0,4336000000.0,3.01,5884000000.0,8233000000.0,6634000000.0,-2387000000.0,-2841000000.0,1406000000.0,1049000000.0,12170000000.0,-0.052000000000000005,47856000000.0,25933000000.0,3.21,9.13,1.64,0.99,2.96
138,139,BDX,"Becton, Dickinson and Company",65546560800,226.8,19716000000.0,0.37,80336560800.0,50.29,1.68%,4.44%,2066000000.0,1318000000.0,4.51,2066000000.0,4356000000.0,3760000000.0,-1481000000.0,-1948000000.0,326000000.0,265000000.0,18011000000.0,-0.011699999999999999,54157000000.0,28510000000.0,2.56,18.44,0.47,3.66,2.04
139,140,CSX,CSX Corporation,65451056400,33.48,14632000000.0,0.35,82968056400.0,18.4,1.43%,9.52%,5451000000.0,3621000000.0,1.82,5590000000.0,7218000000.0,5382000000.0,-2311000000.0,-2879000000.0,192000000.0,1151000000.0,19002000000.0,0.0327,42695000000.0,30093000000.0,5.19,11.49,1.19,0.56,2.3
140,141,ECL,Ecolab Inc.,65366973000,228.9,15500500000.0,0.72,72860973000.0,42.39,1.00%,6.67%,2158600000.0,1551000000.0,5.4,2197500000.0,3121600000.0,2863000000.0,-1002100000.0,-1777600000.0,60500000.0,352400000.0,7973900000.0,-0.1104,21298500000.0,13072900000.0,7.97,23.34,1.09,2.74,2.2
141,142,PYPL,"PayPal Holdings, Inc.",65032928500,62.17,30430000000.0,0.39,54888928500.0,15.66,0,0,5197000000.0,4339000000.0,3.97,5546000000.0,6613000000.0,5590000000.0,1698000000.0,-2693000000.0,4581000000.0,1207000000.0,9683000000.0,-0.0761,83347000000.0,62645000000.0,3.14,8.3,1.42,1.53,1.8
142,143,EMR,Emerson Electric Co.,64103805000,112.05,16529000000.0,0.37,72554805000.0,5.99,1.87%,0.96%,2147000000.0,10739000000.0,18.72,11296000000.0,12670000000.0,1309000000.0,1192000000.0,-2174000000.0,272000000.0,523000000.0,10769000000.0,0.06280000000000001,46440000000.0,19659000000.0,3.07,5.73,1.36,1.94,1.7
143,144,MPC,Marathon Petroleum Corporation,63123442800,179.16,148441000000.0,1.71,84080442800.0,8.85,1.84%,13.96%,12237000000.0,7894000000.0,20.24,10731000000.0,14065000000.0,11592000000.0,-3103000000.0,-13277000000.0,-4172000000.0,2287000000.0,28531000000.0,-0.0004,85528000000.0,55757000000.0,2.75,5.98,1.54,4.5,3.23
144,145,USB,U.S. Bancorp,62059494200,39.77,25156000000.0,0.04,54869494200.0,13.21,4.93%,2.11%,6379000000.0,4668000000.0,3.01,6349000000.0,7346000000.0,10266000000.0,9029000000.0,-8538000000.0,10757000000.0,1299000000.0,69795000000.0,-0.2944,683606000000.0,627573000000.0,1.12,7.47,1.06,0.8,2.6
145,146,FDX,FedEx Corporation,61037931240,248.04,87514000000.0,1.0,92907931240.0,14.33,2.03%,9.57%,5507000000.0,4395000000.0,17.31,6518000000.0,10776000000.0,9061000000.0,-5710000000.0,-3035000000.0,271000000.0,1541000000.0,37514000000.0,-0.0151,86114000000.0,59739000000.0,2.31,8.62,1.24,4.23,3.36
146,147,AON,Aon plc,60719781060,279.26,13575000000.0,0.38,71444781060.0,21.87,0.97%,9.80%,3777000000.0,2585000000.0,12.77,3711000000.0,3964000000.0,3301000000.0,-5354000000.0,1992000000.0,-1000000.0,609000000.0,17133000000.0,0.4238,40767000000.0,40795000000.0,6.379763293808962,18.02,0.89,5.08,1.75
147,148,PNC,"The PNC Financial Services Group, Inc.",60617152380,152.34,21032000000.0,0.04,73779152380.0,12.79,4.07%,3.33%,7007000000.0,4793000000.0,11.91,6279000000.0,6468000000.0,9993000000.0,-7032000000.0,-2968000000.0,-7000000.0,1048000000.0,72707000000.0,0.1954,566162000000.0,514788000000.0,1.18,11.41,1.15,2.6,2.81
148,149,PSX,Phillips 66,60523387520,142.76,151237000000.0,1.99,79107387520.0,10.96,3.22%,6.44%,8750000000.0,5802000000.0,13.03,8593000000.0,10598000000.0,5594000000.0,-2190000000.0,-8821000000.0,-5395000000.0,1859000000.0,20154000000.0,0.09029999999999999,76399000000.0,45606000000.0,2.04,7.46,1.4,3.1,3.29
149,150,WELL,Welltower Inc.,60287870280,100.83,6937007000.0,0.16,72396000280.0,122.96,2.42%,0,1063713000.0,441567000.0,0.82,1061838000.0,2489690000.0,1632609000.0,-5355836000.0,5556744000.0,1839539000.0,9510000.0,14586465000.0,-0.051399999999999994,44553585000.0,16005677000.0,2.19,29.08,1.07,1.57,3.81
150,151,MSI,"Motorola Solutions, Inc.",60024973430,359.89,10197000000.0,0.79,65266973430.0,44.49,1.09%,11.37%,2414000000.0,1392000000.0,8.09,1898000000.0,2239000000.0,2434000000.0,-408000000.0,-1544000000.0,490000000.0,300000000.0,6754000000.0,0.053200000000000004,13326000000.0,12789000000.0,115.21,29.15,0.91,5.1,2.58
151,152,APD,"Air Products and Chemicals, Inc.",58828836780,264.63,12152800000.0,0.37,70464836780.0,23.88,2.68%,4.45%,2686900000.0,2469900000.0,11.08,3238400000.0,4645600000.0,3276000000.0,-6666400000.0,3718700000.0,292600000.0,559700000.0,14273800000.0,0.46049999999999996,35921700000.0,19586800000.0,3.94,15.17,0.81,4.17,2.21
152,153,MRNA,"Moderna, Inc.",58712368000,153.2,5153000000.0,0.27,51401368000.0,17.53931243926329,0,0,-5139000000.0,-5968000000.0,-15.66,-4802000000.0,-4223000000.0,-2882000000.0,2313000000.0,-821000000.0,-1390000000.0,1166000000.0,1212000000.0,0.3074,16729000000.0,3912000000.0,4.58,10.678463609173274,1.57,7.92,6.93
153,154,CARR,Carrier Global Corporation,58268510710,64.67,23007000000.0,0.73,74355510710.0,45.22,1.18%,11.94%,2447000000.0,1245000000.0,1.43,2143000000.0,2863000000.0,2527000000.0,-11641000000.0,7204000000.0,-2037000000.0,568000000.0,17400000000.0,0.8598,40810000000.0,28904000000.0,5.04,25.97,1.21,1.44,3.16
154,155,RSG,"Republic Services, Inc.",57793171320,183.51,15245100000.0,0.5,70533571320.0,32.14,1.17%,8.08%,2886400000.0,1801000000.0,5.71,2788700000.0,4431000000.0,3741600000.0,-3692400000.0,-97300000.0,-48300000.0,467000000.0,12832000000.0,0.0761,31381700000.0,20561100000.0,5.34,15.92,0.68,2.25,1.91
